input_data_set, R2 score, dynamic_score
525, 0.5882352941176471, 0.8811131526964723
500, 0.5714285714285715, 0.8794740176613643
450, 0.7032967032967034, 0.8769218467621971
375, 0.7333333333333333, 0.8699099605536225
250, 0.580952380952381, 0.8685438933206657
400, 0.6476190476190475, 0.8570058072524344
475, 0.7142857142857143, 0.8553388678683915
275, 0.7047619047619048, 0.8377286369406771
425, 0.6722689075630253, 0.8291989438106095
325, 0.5798319327731093, 0.8285092053881798
125, 0.49523809523809526, 0.8189148741606547
300, 0.6190476190476191, 0.8045488981761043
200, 0.5294117647058824, 0.7810539517550326
350, 0.7238095238095238, 0.7481135544515584
175, 0.4857142857142857, 0.745267757534974
225, 0.4957983193277311, 0.6878079839644367
150, 0.5142857142857143, 0.6797854800078884
100, 0.5630252100840336, 0.6006699414996651
